id;nombre;telefono;correo;direccion;descripcion;logos;logos_content_type;pagina_web
1;Clothing target;HDD Forward;withdrawal Planner;National;../data/blob/hipster.txt;../data/blob/hipster.png;image/png;benchmark
2;invoice program;synthesize;Investor Tuna;redefine;../data/blob/hipster.txt;../data/blob/hipster.png;image/png;Shirt SDD
3;communities Refined;Pike Borders;payment Rustic;envisioneer Coordinator;../data/blob/hipster.txt;../data/blob/hipster.png;image/png;SMTP
4;matrices;Savings Account redefine Multi-channelled;Team-oriented;initiatives;../data/blob/hipster.txt;../data/blob/hipster.png;image/png;Jordan
5;Uganda Shilling Cotton;Persevering Personal Loan Account;De-engineered strategic integrate;array payment;../data/blob/hipster.txt;../data/blob/hipster.png;image/png;optical transmitter
6;Utah COM;Botswana;zero defect;Granite;../data/blob/hipster.txt;../data/blob/hipster.png;image/png;Program
7;deposit;Estate;Incredible Sleek Arizona;Shirt Architect Developer;../data/blob/hipster.txt;../data/blob/hipster.png;image/png;Automotive
8;invoice;Minnesota Open-architected Lebanon;Tugrik Wooden;Plastic;../data/blob/hipster.txt;../data/blob/hipster.png;image/png;capacitor
9;feed;Officer;feed;communities;../data/blob/hipster.txt;../data/blob/hipster.png;image/png;Officer Quality-focused invoice
10;Identity Lek Bedfordshire;transmitting COM;Music Data East Caribbean Dollar;Savings Account Branding navigating;../data/blob/hipster.txt;../data/blob/hipster.png;image/png;payment Incredible deposit
